% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec gw_id latitude_deg longitude_deg altitude_m
74 1 15.93 96.54 0
75 0 17.69 101.62 0
75 1 15.93 96.54 0
76 0 17.69 101.62 0
76 1 15.93 96.54 0
77 0 17.69 101.62 0
77 1 15.93 96.54 0
78 0 17.69 101.62 0
78 1 15.93 96.54 0
79 0 17.69 101.62 0
79 1 15.93 96.54 0
80 0 17.69 101.62 0
80 1 15.93 96.54 0
81 0 17.69 101.62 0
81 1 15.93 96.54 0
82 0 17.69 101.62 0
82 1 15.93 96.54 0
83 0 17.69 101.62 0
83 1 15.93 96.54 0
84 0 17.69 101.62 0
84 1 15.93 96.54 0
85 0 17.69 101.62 0
85 1 15.93 96.54 0
86 0 17.69 101.62 0
86 1 15.93 96.54 0
87 0 17.69 101.62 0
87 1 15.93 96.54 0
88 0 17.69 101.62 0
88 1 15.93 96.54 0
89 0 17.69 101.62 0
89 1 15.93 96.54 0
90 0 17.69 101.62 0
90 1 15.93 96.54 0
91 0 17.69 101.62 0
91 1 15.93 96.54 0
92 0 17.69 101.62 0
92 1 15.93 96.54 0
93 0 17.69 101.62 0
93 1 15.93 96.54 0
94 0 17.69 101.62 0
94 1 15.93 96.54 0
95 0 17.69 101.62 0
95 1 15.93 96.54 0
96 0 17.69 101.62 0
96 1 15.93 96.54 0
97 0 17.69 101.62 0
97 1 15.93 96.54 0
98 0 17.69 101.62 0
98 1 15.93 96.54 0
99 0 17.69 101.62 0
99 1 15.93 96.54 0
% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec gw_id latitude_deg longitude_deg altitude_m
1 0 17.69 101.62 0
1 1 15.93 96.54 0
2 0 17.69 101.62 0
2 1 15.93 96.54 0
3 0 17.69 101.62 0
3 1 15.93 96.54 0
4 0 17.69 101.62 0
4 1 15.93 96.54 0
5 0 17.69 101.62 0
5 1 15.93 96.54 0
6 0 17.69 101.62 0
6 1 15.93 96.54 0
7 0 17.69 101.62 0
7 1 15.93 96.54 0
8 0 17.69 101.62 0
8 1 15.93 96.54 0
9 0 17.69 101.62 0
9 1 15.93 96.54 0
10 0 17.69 101.62 0
10 1 15.93 96.54 0
11 0 17.69 101.62 0
11 1 15.93 96.54 0
12 0 17.69 101.62 0
12 1 15.93 96.54 0
13 0 17.69 101.62 0
13 1 15.93 96.54 0
14 0 17.69 101.62 0
14 1 15.93 96.54 0
15 0 17.69 101.62 0
15 1 15.93 96.54 0
16 0 17.69 101.62 0
16 1 15.93 96.54 0
17 0 17.69 101.62 0
17 1 15.93 96.54 0
18 0 17.69 101.62 0
18 1 15.93 96.54 0
19 0 17.69 101.62 0
19 1 15.93 96.54 0
20 0 17.69 101.62 0
20 1 15.93 96.54 0
21 0 17.69 101.62 0
21 1 15.93 96.54 0
22 0 17.69 101.62 0
22 1 15.93 96.54 0
23 0 17.69 101.62 0
23 1 15.93 96.54 0
24 0 17.69 101.62 0
24 1 15.93 96.54 0
25 0 17.69 101.62 0
25 1 15.93 96.54 0
26 0 17.69 101.62 0
26 1 15.93 96.54 0
27 0 17.69 101.62 0
27 1 15.93 96.54 0
28 0 17.69 101.62 0
28 1 15.93 96.54 0
29 0 17.69 101.62 0
29 1 15.93 96.54 0
30 0 17.69 101.62 0
30 1 15.93 96.54 0
31 0 17.69 101.62 0
31 1 15.93 96.54 0
32 0 17.69 101.62 0
32 1 15.93 96.54 0
33 0 17.69 101.62 0
33 1 15.93 96.54 0
34 0 17.69 101.62 0
34 1 15.93 96.54 0
35 0 17.69 101.62 0
35 1 15.93 96.54 0
36 0 17.69 101.62 0
36 1 15.93 96.54 0
37 0 17.69 101.62 0
37 1 15.93 96.54 0
38 0 17.69 101.62 0
38 1 15.93 96.54 0
39 0 17.69 101.62 0
39 1 15.93 96.54 0
40 0 17.69 101.62 0
40 1 15.93 96.54 0
41 0 17.69 101.62 0
41 1 15.93 96.54 0
42 0 17.69 101.62 0
42 1 15.93 96.54 0
43 0 17.69 101.62 0
43 1 15.93 96.54 0
44 0 17.69 101.62 0
44 1 15.93 96.54 0
45 0 17.69 101.62 0
45 1 15.93 96.54 0
46 0 17.69 101.62 0
46 1 15.93 96.54 0
47 0 17.69 101.62 0
47 1 15.93 96.54 0
48 0 17.69 101.62 0
48 1 15.93 96.54 0
49 0 17.69 101.62 0
49 1 15.93 96.54 0
50 0 17.69 101.62 0
50 1 15.93 96.54 0
51 0 17.69 101.62 0
51 1 15.93 96.54 0
52 0 17.69 101.62 0
52 1 15.93 96.54 0
53 0 17.69 101.62 0
53 1 15.93 96.54 0
54 0 17.69 101.62 0
54 1 15.93 96.54 0
55 0 17.69 101.62 0
55 1 15.93 96.54 0
56 0 17.69 101.62 0
56 1 15.93 96.54 0
57 0 17.69 101.62 0
57 1 15.93 96.54 0
58 0 17.69 101.62 0
58 1 15.93 96.54 0
59 0 17.69 101.62 0
59 1 15.93 96.54 0
60 0 17.69 101.62 0
60 1 15.93 96.54 0
61 0 17.69 101.62 0
61 1 15.93 96.54 0
62 0 17.69 101.62 0
62 1 15.93 96.54 0
63 0 17.69 101.62 0
63 1 15.93 96.54 0
64 0 17.69 101.62 0
64 1 15.93 96.54 0
65 0 17.69 101.62 0
65 1 15.93 96.54 0
66 0 17.69 101.62 0
66 1 15.93 96.54 0
67 0 17.69 101.62 0
67 1 15.93 96.54 0
68 0 17.69 101.62 0
68 1 15.93 96.54 0
69 0 17.69 101.62 0
69 1 15.93 96.54 0
70 0 17.69 101.62 0
70 1 15.93 96.54 0
71 0 17.69 101.62 0
71 1 15.93 96.54 0
72 0 17.69 101.62 0
72 1 15.93 96.54 0
73 0 17.69 101.62 0
73 1 15.93 96.54 0
74 0 17.69 101.62 0
74 1 15.93 96.54 0
75 0 17.69 101.62 0
75 1 15.93 96.54 0
76 0 17.69 101.62 0
76 1 15.93 96.54 0
77 0 17.69 101.62 0
77 1 15.93 96.54 0
78 0 17.69 101.62 0
78 1 15.93 96.54 0
79 0 17.69 101.62 0
79 1 15.93 96.54 0
80 0 17.69 101.62 0
80 1 15.93 96.54 0
81 0 17.69 101.62 0
81 1 15.93 96.54 0
82 0 17.69 101.62 0
82 1 15.93 96.54 0
83 0 17.69 101.62 0
83 1 15.93 96.54 0
84 0 17.69 101.62 0
84 1 15.93 96.54 0
85 0 17.69 101.62 0
85 1 15.93 96.54 0
86 0 17.69 101.62 0
86 1 15.93 96.54 0
87 0 17.69 101.62 0
87 1 15.93 96.54 0
88 0 17.69 101.62 0
88 1 15.93 96.54 0
89 0 17.69 101.62 0
89 1 15.93 96.54 0
90 0 17.69 101.62 0
90 1 15.93 96.54 0
91 0 17.69 101.62 0
91 1 15.93 96.54 0
92 0 17.69 101.62 0
92 1 15.93 96.54 0
93 0 17.69 101.62 0
93 1 15.93 96.54 0
94 0 17.69 101.62 0
94 1 15.93 96.54 0
95 0 17.69 101.62 0
95 1 15.93 96.54 0
96 0 17.69 101.62 0
96 1 15.93 96.54 0
97 0 17.69 101.62 0
97 1 15.93 96.54 0
98 0 17.69 101.62 0
98 1 15.93 96.54 0
99 0 17.69 101.62 0
99 1 15.93 96.54 0
% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec gw_id latitude_deg longitude_deg altitude_m
1 0 17.69 101.62 0
1 1 15.93 96.54 0
2 0 17.69 101.62 0
2 1 15.93 96.54 0
3 0 17.69 101.62 0
3 1 15.93 96.54 0
4 0 17.69 101.62 0
4 1 15.93 96.54 0
5 0 17.69 101.62 0
5 1 15.93 96.54 0
6 0 17.69 101.62 0
6 1 15.93 96.54 0
7 0 17.69 101.62 0
7 1 15.93 96.54 0
8 0 17.69 101.62 0
8 1 15.93 96.54 0
9 0 17.69 101.62 0
9 1 15.93 96.54 0
10 0 17.69 101.62 0
10 1 15.93 96.54 0
11 0 17.69 101.62 0
11 1 15.93 96.54 0
12 0 17.69 101.62 0
12 1 15.93 96.54 0
13 0 17.69 101.62 0
13 1 15.93 96.54 0
14 0 17.69 101.62 0
14 1 15.93 96.54 0
15 0 17.69 101.62 0
15 1 15.93 96.54 0
16 0 17.69 101.62 0
16 1 15.93 96.54 0
17 0 17.69 101.62 0
17 1 15.93 96.54 0
18 0 17.69 101.62 0
18 1 15.93 96.54 0
19 0 17.69 101.62 0
19 1 15.93 96.54 0
20 0 17.69 101.62 0
20 1 15.93 96.54 0
21 0 17.69 101.62 0
21 1 15.93 96.54 0
22 0 17.69 101.62 0
22 1 15.93 96.54 0
23 0 17.69 101.62 0
23 1 15.93 96.54 0
24 0 17.69 101.62 0
24 1 15.93 96.54 0
25 0 17.69 101.62 0
25 1 15.93 96.54 0
26 0 17.69 101.62 0
26 1 15.93 96.54 0
27 0 17.69 101.62 0
27 1 15.93 96.54 0
28 0 17.69 101.62 0
28 1 15.93 96.54 0
29 0 17.69 101.62 0
29 1 15.93 96.54 0
30 0 17.69 101.62 0
30 1 15.93 96.54 0
31 0 17.69 101.62 0
31 1 15.93 96.54 0
32 0 17.69 101.62 0
32 1 15.93 96.54 0
33 0 17.69 101.62 0
33 1 15.93 96.54 0
34 0 17.69 101.62 0
34 1 15.93 96.54 0
35 0 17.69 101.62 0
35 1 15.93 96.54 0
36 0 17.69 101.62 0
36 1 15.93 96.54 0
37 0 17.69 101.62 0
37 1 15.93 96.54 0
38 0 17.69 101.62 0
38 1 15.93 96.54 0
39 0 17.69 101.62 0
39 1 15.93 96.54 0
40 0 17.69 101.62 0
40 1 15.93 96.54 0
41 0 17.69 101.62 0
41 1 15.93 96.54 0
42 0 17.69 101.62 0
42 1 15.93 96.54 0
43 0 17.69 101.62 0
43 1 15.93 96.54 0
44 0 17.69 101.62 0
44 1 15.93 96.54 0
45 0 17.69 101.62 0
45 1 15.93 96.54 0
46 0 17.69 101.62 0
46 1 15.93 96.54 0
47 0 17.69 101.62 0
47 1 15.93 96.54 0
48 0 17.69 101.62 0
48 1 15.93 96.54 0
49 0 17.69 101.62 0
49 1 15.93 96.54 0
50 0 17.69 101.62 0
50 1 15.93 96.54 0
51 0 17.69 101.62 0
51 1 15.93 96.54 0
52 0 17.69 101.62 0
52 1 15.93 96.54 0
53 0 17.69 101.62 0
53 1 15.93 96.54 0
54 0 17.69 101.62 0
54 1 15.93 96.54 0
55 0 17.69 101.62 0
55 1 15.93 96.54 0
56 0 17.69 101.62 0
56 1 15.93 96.54 0
57 0 17.69 101.62 0
57 1 15.93 96.54 0
58 0 17.69 101.62 0
58 1 15.93 96.54 0
59 0 17.69 101.62 0
59 1 15.93 96.54 0
60 0 17.69 101.62 0
60 1 15.93 96.54 0
61 0 17.69 101.62 0
61 1 15.93 96.54 0
62 0 17.69 101.62 0
62 1 15.93 96.54 0
63 0 17.69 101.62 0
63 1 15.93 96.54 0
64 0 17.69 101.62 0
64 1 15.93 96.54 0
65 0 17.69 101.62 0
65 1 15.93 96.54 0
66 0 17.69 101.62 0
66 1 15.93 96.54 0
67 0 17.69 101.62 0
67 1 15.93 96.54 0
68 0 17.69 101.62 0
68 1 15.93 96.54 0
69 0 17.69 101.62 0
69 1 15.93 96.54 0
70 0 17.69 101.62 0
70 1 15.93 96.54 0
71 0 17.69 101.62 0
71 1 15.93 96.54 0
72 0 17.69 101.62 0
72 1 15.93 96.54 0
73 0 17.69 101.62 0
73 1 15.93 96.54 0
74 0 17.69 101.62 0
74 1 15.93 96.54 0
75 0 17.69 101.62 0
75 1 15.93 96.54 0
76 0 17.69 101.62 0
76 1 15.93 96.54 0
77 0 17.69 101.62 0
77 1 15.93 96.54 0
78 0 17.69 101.62 0
78 1 15.93 96.54 0
79 0 17.69 101.62 0
79 1 15.93 96.54 0
80 0 17.69 101.62 0
80 1 15.93 96.54 0
81 0 17.69 101.62 0
81 1 15.93 96.54 0
82 0 17.69 101.62 0
82 1 15.93 96.54 0
83 0 17.69 101.62 0
83 1 15.93 96.54 0
84 0 17.69 101.62 0
84 1 15.93 96.54 0
85 0 17.69 101.62 0
85 1 15.93 96.54 0
86 0 17.69 101.62 0
86 1 15.93 96.54 0
87 0 17.69 101.62 0
87 1 15.93 96.54 0
88 0 17.69 101.62 0
88 1 15.93 96.54 0
89 0 17.69 101.62 0
89 1 15.93 96.54 0
90 0 17.69 101.62 0
90 1 15.93 96.54 0
91 0 17.69 101.62 0
91 1 15.93 96.54 0
92 0 17.69 101.62 0
92 1 15.93 96.54 0
93 0 17.69 101.62 0
93 1 15.93 96.54 0
94 0 17.69 101.62 0
94 1 15.93 96.54 0
95 0 17.69 101.62 0
95 1 15.93 96.54 0
96 0 17.69 101.62 0
96 1 15.93 96.54 0
97 0 17.69 101.62 0
97 1 15.93 96.54 0
98 0 17.69 101.62 0
98 1 15.93 96.54 0
99 0 17.69 101.62 0
99 1 15.93 96.54 0
% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec gw_id latitude_deg longitude_deg altitude_m
1 0 17.69 101.62 0
1 1 15.93 96.54 0
2 0 17.69 101.62 0
2 1 15.93 96.54 0
3 0 17.69 101.62 0
3 1 15.93 96.54 0
4 0 17.69 101.62 0
4 1 15.93 96.54 0
5 0 17.69 101.62 0
5 1 15.93 96.54 0
6 0 17.69 101.62 0
6 1 15.93 96.54 0
7 0 17.69 101.62 0
7 1 15.93 96.54 0
8 0 17.69 101.62 0
8 1 15.93 96.54 0
9 0 17.69 101.62 0
9 1 15.93 96.54 0
10 0 17.69 101.62 0
10 1 15.93 96.54 0
11 0 17.69 101.62 0
11 1 15.93 96.54 0
12 0 17.69 101.62 0
12 1 15.93 96.54 0
13 0 17.69 101.62 0
13 1 15.93 96.54 0
14 0 17.69 101.62 0
14 1 15.93 96.54 0
15 0 17.69 101.62 0
15 1 15.93 96.54 0
16 0 17.69 101.62 0
16 1 15.93 96.54 0
17 0 17.69 101.62 0
17 1 15.93 96.54 0
18 0 17.69 101.62 0
18 1 15.93 96.54 0
19 0 17.69 101.62 0
19 1 15.93 96.54 0
20 0 17.69 101.62 0
20 1 15.93 96.54 0
21 0 17.69 101.62 0
21 1 15.93 96.54 0
22 0 17.69 101.62 0
22 1 15.93 96.54 0
23 0 17.69 101.62 0
23 1 15.93 96.54 0
24 0 17.69 101.62 0
24 1 15.93 96.54 0
25 0 17.69 101.62 0
25 1 15.93 96.54 0
26 0 17.69 101.62 0
26 1 15.93 96.54 0
27 0 17.69 101.62 0
27 1 15.93 96.54 0
28 0 17.69 101.62 0
28 1 15.93 96.54 0
29 0 17.69 101.62 0
29 1 15.93 96.54 0
30 0 17.69 101.62 0
30 1 15.93 96.54 0
31 0 17.69 101.62 0
31 1 15.93 96.54 0
32 0 17.69 101.62 0
32 1 15.93 96.54 0
33 0 17.69 101.62 0
33 1 15.93 96.54 0
34 0 17.69 101.62 0
34 1 15.93 96.54 0
35 0 17.69 101.62 0
35 1 15.93 96.54 0
36 0 17.69 101.62 0
36 1 15.93 96.54 0
37 0 17.69 101.62 0
37 1 15.93 96.54 0
38 0 17.69 101.62 0
38 1 15.93 96.54 0
39 0 17.69 101.62 0
39 1 15.93 96.54 0
40 0 17.69 101.62 0
40 1 15.93 96.54 0
41 0 17.69 101.62 0
41 1 15.93 96.54 0
42 0 17.69 101.62 0
42 1 15.93 96.54 0
43 0 17.69 101.62 0
43 1 15.93 96.54 0
44 0 17.69 101.62 0
44 1 15.93 96.54 0
45 0 17.69 101.62 0
45 1 15.93 96.54 0
46 0 17.69 101.62 0
46 1 15.93 96.54 0
47 0 17.69 101.62 0
47 1 15.93 96.54 0
48 0 17.69 101.62 0
48 1 15.93 96.54 0
49 0 17.69 101.62 0
49 1 15.93 96.54 0
50 0 17.69 101.62 0
50 1 15.93 96.54 0
51 0 17.69 101.62 0
51 1 15.93 96.54 0
52 0 17.69 101.62 0
52 1 15.93 96.54 0
53 0 17.69 101.62 0
53 1 15.93 96.54 0
54 0 17.69 101.62 0
54 1 15.93 96.54 0
55 0 17.69 101.62 0
55 1 15.93 96.54 0
56 0 17.69 101.62 0
56 1 15.93 96.54 0
57 0 17.69 101.62 0
57 1 15.93 96.54 0
58 0 17.69 101.62 0
58 1 15.93 96.54 0
59 0 17.69 101.62 0
59 1 15.93 96.54 0
60 0 17.69 101.62 0
60 1 15.93 96.54 0
61 0 17.69 101.62 0
61 1 15.93 96.54 0
62 0 17.69 101.62 0
62 1 15.93 96.54 0
63 0 17.69 101.62 0
63 1 15.93 96.54 0
64 0 17.69 101.62 0
64 1 15.93 96.54 0
65 0 17.69 101.62 0
65 1 15.93 96.54 0
66 0 17.69 101.62 0
66 1 15.93 96.54 0
67 0 17.69 101.62 0
67 1 15.93 96.54 0
68 0 17.69 101.62 0
68 1 15.93 96.54 0
69 0 17.69 101.62 0
69 1 15.93 96.54 0
70 0 17.69 101.62 0
70 1 15.93 96.54 0
71 0 17.69 101.62 0
71 1 15.93 96.54 0
72 0 17.69 101.62 0
72 1 15.93 96.54 0
73 0 17.69 101.62 0
73 1 15.93 96.54 0
74 0 17.69 101.62 0
74 1 15.93 96.54 0
75 0 17.69 101.62 0
75 1 15.93 96.54 0
76 0 17.69 101.62 0
76 1 15.93 96.54 0
77 0 17.69 101.62 0
77 1 15.93 96.54 0
78 0 17.69 101.62 0
78 1 15.93 96.54 0
79 0 17.69 101.62 0
79 1 15.93 96.54 0
80 0 17.69 101.62 0
80 1 15.93 96.54 0
81 0 17.69 101.62 0
81 1 15.93 96.54 0
82 0 17.69 101.62 0
82 1 15.93 96.54 0
83 0 17.69 101.62 0
83 1 15.93 96.54 0
84 0 17.69 101.62 0
84 1 15.93 96.54 0
85 0 17.69 101.62 0
85 1 15.93 96.54 0
86 0 17.69 101.62 0
86 1 15.93 96.54 0
87 0 17.69 101.62 0
87 1 15.93 96.54 0
88 0 17.69 101.62 0
